Tm 	W 	L 	W-L% 	GB 	RS 	RA 	pythW-L%
NYA 	102 	57 	.642 	-- 	898 	733 	.592
ANA 	94 	65 	.591 	8.0 	869 	754 	.565
BOS 	92 	67 	.579 	10.0 	843 	721 	.571
TEX 	86 	73 	.541 	16.0 	773 	730 	.526
DET 	85 	74 	.535 	17.0 	732 	723 	.506
MIN 	83 	76 	.522 	19.0 	783 	745 	.523
SEA 	83 	76 	.522 	19.0 	630 	681 	.464
TBA 	82 	77 	.516 	20.0 	783 	737 	.528
CHA 	77 	82 	.484 	25.0 	708 	726 	.489
OAK 	75 	84 	.472 	27.0 	752 	747 	.503
TOR 	75 	84 	.472 	27.0 	784 	747 	.522
CLE 	65 	94 	.409 	37.0 	758 	836 	.455
KCA 	65 	94 	.409 	37.0 	671 	814 	.413
BAL 	61 	98 	.384 	41.0 	717 	862 	.417
