Tm 	W 	L 	W-L% 	GB 	RS 	RA 	pythW-L%
LAN 	93 	66 	.585 	-- 	767 	604 	.608
PHI 	92 	67 	.579 	1.0 	808 	692 	.570
COL 	91 	68 	.572 	2.0 	797 	702 	.558
SLN 	91 	68 	.572 	2.0 	713 	614 	.568
SFN 	86 	73 	.541 	7.0 	646 	604 	.531
ATL 	86 	73 	.541 	7.0 	727 	627 	.567
MIA 	85 	74 	.535 	8.0 	755 	754 	.501
CHN	82 	76 	.519 	10.5 	697 	655 	.528
MIL 	77 	82 	.484 	16.0 	759 	801 	.475
CIN 	76 	83 	.478 	17.0 	658 	716 	.461
HOU 	74 	85 	.465 	19.0 	641 	754 	.426
SDN 	74 	85 	.465 	19.0 	631 	758 	.417
ARI 	68 	91 	.428 	25.0 	703 	772 	.457
NYN 	67 	92 	.421 	26.0 	655 	755 	.435
PIT 	61 	97 	.386 	31.5 	629 	753 	.418
WAS 	56 	103 	.352 	37.0 	696 	866 	.401
